rank,dramas,votes,per,date,time
1,Sut Khaen Saen Ruk,994303,0.3834,2022-08-14,15:32
2,Love Destiny,456110,0.1759,2022-08-14,15:32
3,Plerng Boon,211117,0.0814,2022-08-14,15:32
4,4 Huajai Haeng Koon Kao,187962,0.0725,2022-08-14,15:32
5,Waves of Life,83786,0.0323,2022-08-14,15:32
6,Tarm Ruk Keun Jai,58581,0.0226,2022-08-14,15:32
7,Suparburoot Jutathep,58515,0.0226,2022-08-14,15:32
8,Game Sanaeha,50383,0.0194,2022-08-14,15:32
9,Tong Neu Gao,46389,0.0179,2022-08-14,15:32
10,Samee Tee Tra,43013,0.0166,2022-08-14,15:32
11,My Husband in-Law,42580,0.0164,2022-08-14,15:32
12,Thong Ek: The Herbal Master,41731,0.0161,2022-08-14,15:32
13,When A Man Loves A Woman,41729,0.0161,2022-08-14,15:32
14,Padiwarada,41369,0.016,2022-08-14,15:32
15,Tra Barb See Chompoo,40587,0.0157,2022-08-14,15:32
16,Krong Karm,40283,0.0155,2022-08-14,15:32
17,Nakee,39322,0.0152,2022-08-14,15:32
18,Yah Leum Chan,38786,0.015,2022-08-14,15:32
19,Raeng Ngao,38475,0.0148,2022-08-14,15:32
20,Sawan Biang,38055,0.0146,2022-08-14,15:32
